,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
5145,9769,0,760957,2380948.0,THE FIRST STATE BANK OF ROSEMOUNT,Rosemount,MN,55068,12/31/2016,8/17/2020,NM,3025 145th St. W.,HIGGINS BCORP INC,1,0,0,7,0,Dakota,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",1/1/1909,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,www.fsbrosemount.com,7450.0,3630.0,1581.0,855.0,1384.0,3846,1844.0,1404.0,432.0,166.0
5146,11013,0,686758,1126493.0,THE FIRST STATE BANK OF SHELBY,Shelby,MT,59474,12/31/2016,8/17/2020,NM,320 Main St.,PRAIRIE BANCSHARES CORP,1,0,0,2,0,Toole,,,1/1/1910,1/1/1934,7/29/2015,Stock,0,1,FDIC,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.fsbshelby.com,16946.0,5438.0,10124.0,1384.0,0.0,15318,4870.0,10314.0,134.0,0.0
5147,15328,53087,1557,3822687.0,"THE FIRST STATE BANK, KIOWA, KANSAS",Kiowa,KS,67070,12/31/2016,8/17/2020,NM,546 Main St.,GRACE INV CO INC ESOP THE,1,0,0,2,1,Barber,,,1/1/1935,12/21/1935,4/15/2013,Stock,0,0,FDIC,DIF,Kansas City,DALLAS,Wichita,Kansas City,Western,Western,0,1,,7359.0,1865.0,2788.0,1873.0,833.0,6293,1469.0,3939.0,413.0,472.0
5148,15431,0,791746,1209800.0,THE FIRST TRUST & SAVINGS BANK,Marcus,IA,51035,12/31/2016,8/17/2020,SM,100 W. Pine St.,FT BANCSHARES INC,3,0,0,2,1,Cherokee,,,1/1/1935,10/31/1936,3/31/2006,Stock,0,1,FED,DIF,Kansas City,KANSAS CITY,Sioux City,Chicago,Western,Western,0,1,,6894.0,4041.0,1787.0,1066.0,0.0,1887,1317.0,309.0,261.0,0.0
5149,10831,0,193649,2251776.0,"THE FIRST TRUST AND SAVINGS BANK OF WATSEKA, ILLINOIS",Watseka,IL,60970,12/31/2016,8/17/2020,SM,120 E. Walnut St.,FIRST TRUST HOLDINGS INC THE,2,0,0,2,0,Iroquois,,,6/28/1909,1/1/1934,1/1/2012,Stock,0,1,FED,DIF,Chicago,CHICAGO,Champaign,Chicago,Central,Central,0,1,http://www.ftsbank.com,31628.0,8711.0,10578.0,12150.0,189.0,20110,4922.0,6678.0,8510.0,0.0
5150,34217,0,2385514,2385493.0,"THE FIRST, A NATIONAL BANKING ASSOCIATION",Hattiesburg,MS,39402,12/31/2016,8/17/2020,N,6480 Us-98 W.,FIRST BANCSHARES INC THE,29,0,1,4,0,Lamar,25620.0,"Hattiesburg, MS",8/5/1996,8/5/1996,7/1/2014,Stock,0,0,OCC,DIF,Dallas,DALLAS,Jackson Ms,Atlanta,Southern,West,0,1,www.thefirstbank.com,77893.0,11819.0,35697.0,23513.0,6864.0,145124,19454.0,57768.0,54301.0,13601.0
5151,17513,15454,739832,2616179.0,THE FISHER NATIONAL BANK,Fisher,IL,61843,12/31/2016,8/17/2020,N,102 E. Division St.,FISHER BCORP INC,3,0,0,8,1,Champaign,16580.0,"Champaign-Urbana, IL",11/18/1955,11/18/1955,2/13/2013,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Champaign,Chicago,Central,Central,0,1,www.fishernational.com,16651.0,2842.0,7471.0,4518.0,1820.0,14613,4739.0,5635.0,3290.0,949.0
5152,34573,0,2626794,4503929.0,THE FOOTHILLS BANK,Yuma,AZ,85367,12/31/2016,8/17/2020,NM,11689 S. Foothills Blvd.,TFB BCORP INC,4,0,0,4,0,Yuma,49740.0,"Yuma, AZ",11/3/1997,11/3/1997,8/4/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1,,9699.0,2922.0,4301.0,1676.0,801.0,6092,1882.0,3143.0,569.0,498.0
5153,13209,13772,830113,2524443.0,THE FORT JENNINGS STATE BANK,Fort Jennings,OH,45844,12/31/2016,8/17/2020,NM,120 N. Water St.,FJSB BANCSHARES INC,5,0,0,4,0,Putnam,,,1/1/1918,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,www.fjsb.com,40748.0,10770.0,12918.0,9036.0,8024.0,28448,9906.0,10100.0,5156.0,3286.0
5154,5768,11304,145844,3033045.0,THE FOUNTAIN TRUST COMPANY,Covington,IN,47932,12/31/2016,8/17/2020,NM,615 3rd St,PIPER HOLDINGS INC,11,0,0,2,0,Fountain,,,1/1/1903,1/1/1934,1/1/2016,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,http://www.fountaintrust.com,41970.0,5435.0,10400.0,16910.0,9225.0,12950,798.0,1754.0,5587.0,4811.0
5155,15904,0,7634,1416457.0,THE FOUR COUNTY BANK,Allentown,GA,31003,12/31/2016,8/17/2020,NM,959 Main St.,FOUR COUNTY BANCSHARES INC,1,0,0,4,1,Wilkinson,,,9/15/1941,7/13/1942,3/31/2006,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Savannah,Atlanta,Southern,Southeast,0,1,THEFOURCOUNTYBANK.COM,13134.0,3500.0,8118.0,1272.0,244.0,17271,2977.0,13551.0,743.0,0.0
5156,13450,0,843953,2006471.0,THE FOWLER STATE BANK,Fowler,KS,67844,12/31/2016,8/17/2020,NM,401 Main St.,FSB BANKSHARES INC,3,0,0,2,1,Meade,,,4/13/1906,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1,www.fowlerstatebank.org,7251.0,2380.0,4175.0,690.0,6.0,13062,2483.0,5376.0,5203.0,0.0
5157,57184,0,3019982,,THE FREEDOM BANK OF VIRGINIA,Fairfax,VA,22030,12/31/2016,8/17/2020,SM,10555 Main St.,,3,0,0,4,0,Fairfax City,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7/23/2001,7/23/2001,9/30/2015,Stock,0,0,FED,DIF,Atlanta,ATLANTA,Richmond,Richmond,Northeastern,Southeast,0,1,http://freedom.bank,85507.0,14911.0,56462.0,13326.0,808.0,133473,23458.0,70636.0,34055.0,5324.0
5158,18067,54793,739159,4442701.0,THE FREEPORT STATE BANK,Harper,KS,67058,12/31/2016,8/17/2020,NM,807 W. 14th St.,FREEPORT BANCSHARES INC,2,0,0,2,0,Harper,,,1/1/1902,1/1/1934,1/1/2013,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1,,2411.0,428.0,1407.0,506.0,70.0,1889,264.0,823.0,802.0,0.0
5159,13130,0,427241,1401154.0,THE FRIENDSHIP STATE BANK,Friendship,IN,47021,12/31/2016,8/17/2020,SM,5908 E Main St.,FRIENDSHIP BCORP,8,0,0,8,0,Ripley,,,10/26/1912,1/1/1934,1/1/2016,Stock,0,1,FED,DIF,Chicago,CHICAGO,Indianapolis,Chicago,Central,Central,0,1,www.friendshipstatebank.com,39453.0,13023.0,13269.0,7164.0,5997.0,44923,10303.0,11912.0,18002.0,4706.0
5160,5406,0,150352,1052314.0,THE FULLERTON NATIONAL BANK,Fullerton,NE,68638,12/31/2016,8/17/2020,N,4th &broadway,WOODSTOCK LAND&CATTLE CO,1,0,0,2,1,Nance,,,1/1/1900,1/1/1934,3/31/2006,Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Grand Island,Kansas City,Western,Western,0,1,,7533.0,3611.0,2689.0,1055.0,178.0,5259,1330.0,1973.0,1456.0,500.0
