cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"9672","16019","492810","1071735","OWINGSVILLE BANKING COMPANY","Owingsville","KY","40360","6/30/2020","8/17/2020","NM","49 W. Main St.","BATH COUNTY BANKING CO","3","0","0","2","0","Bath","","","5/10/1893","1/1/1934","7/15/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.bankobc.com; www.bankobc.net","63990","63990","58753","0","5237","0","0","0","","24073","11255","39917","709","6480","32728","52735","11255","52735","62285","61702","1775","1000","0","0","",""
"9719","12402","448040","1249383","OXFORD BANK","Oxford","MI","48371","6/30/2020","8/17/2020","NM","60 S. Washington St.","OXFORD BANK CORP","9","0","0","4","0","Oakland","19820","Detroit-Warren-Dearborn, MI","6/4/1884","1/1/1934","5/1/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.oxfordbank.com","601083","601083","573949","0","27135","0","0","0","","189615","149772","411469","236415","122090","52964","451312","149772","451311","584766","377069","10634","0","0","0","",""
"9260","11032","647432","1248032","OXFORD BANK & TRUST","Oak Brook","IL","60523","6/30/2020","8/17/2020","NM","1111 W. 22nd St, # 800","OXFORD FINANCIAL CORP","8","0","0","4","1","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/10/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.oxford.bank","594171","594171","588492","0","5679","0","0","0","","154916","103656","439255","241222","69881","128153","490515","103656","490515","568542","519115","15777","8352","8352","3598","",""
"57034","0","2938769","3260551","OXFORD UNIVERSITY BANK","Oxford","MS","38655","6/30/2020","8/17/2020","NM","1500 University Ave.","LAFAYETTE BCORP INC","5","0","0","4","0","Lafayette","","","11/27/2000","11/27/2000","6/16/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","0","1","http://www.oubol.com","169352","169352","164232","125","3885","1110","0","0","","71484","31170","97868","13456","12009","72404","138182","35781","133571","150894","146014","5610","0","0","0","",""
"1654","14406","882952","","OZARK BANK","Ozark","MO","65721","6/30/2020","8/17/2020","NM","106-112 N. 2nd Ave.","","4","0","0","4","1","Christian","44180","Springfield, MO","9/25/1906","1/1/1934","11/2/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","http://www.ozarkbank.com","241953","241953","181463","1","51005","9484","0","0","","140780","35766","101173","25040","18698","57435","206187","35766","206186","225748","173242","7109","0","0","9484","",""
"28277","1283","1016174","","OZARKS FEDERAL SAVINGS AND LOAN ASSOCIATION","Farmington","MO","63640","6/30/2020","8/17/2020","SA","2 E. Columbia","","5","0","0","5","0","Saint Francois","","","1/1/1930","12/3/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.ozarksfederal.com","217003","217003","211242","0","5757","4","0","0","","47137","11571","169866","23117","19913","126836","205432","11570","205433","204037","207512","16722","0","0","0","",""
"58234","0","3546862","","PACIFIC ALLIANCE BANK","Rosemead","CA","91770","6/30/2020","8/17/2020","NM","8400 E. Valley Blvd.","","3","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","12/27/2006","12/27/2006","12/11/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","www.pacificalliancebank.com","266201","266201","224745","0","9642","31814","0","0","","23902","15832","242299","34112","3290","204898","250369","15832","250369","193942","207122","2670","0","0","30076","",""
"57463","0","3212402","3595084","PACIFIC CITY BANK","Los Angeles","CA","90010","6/30/2020","8/17/2020","NM","3701 Wilshire Blvd, # 900","PCB BCORP","13","0","1","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","9/18/2003","9/18/2003","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","http://www.paccitybank.com","1650532","1650532","1560532","0","90000","0","0","0","","576189","555005","1074343","339455","8258","726630","1095527","555016","1095516","1308342","998710","5963","82010","82010","37068","",""
"34252","0","2451240","2731586","PACIFIC COAST BANKERS' BANK","Walnut Creek","CA","94596","6/30/2020","8/17/2020","SM","1676 N. California Blvd, # 3","PACIFIC COAST BANKERS BANCSHARES","1","0","0","9","0","Contra Costa","41860","San Francisco-Oakland-Hayward, CA","1/2/1997","1/2/1997","3/2/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","0","http://pcbb.com","992501","992501","33804","0","0","958697","0","0","","283873","283873","708628","670003","0","38625","708628","283755","708745","961678","121452","0","117","117","0","",""
"34585","0","2643595","2713685","PACIFIC CREST SAVINGS BANK","Lynnwood","WA","98037","6/30/2020","8/17/2020","SB","3500 188th St, S.W, # 575","PACIFIC CREST BCORP INC","1","0","0","4","1","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","1/2/1998","1/2/1998","8/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","http://www.paccrest.com/","188100","188100","176427","0","248","11425","0","0","","15237","5026","172863","72424","0","100439","183074","5026","183074","159996","148826","8417","14246","14246","11425","",""
