cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"29501","3560","277679","","INTERSTATE FEDERAL SAVINGS AND LOAN ASSOCIATION OF MCGREGOR","Mcgregor","IA","52157","6/30/2020","8/17/2020","SA","154 Main St","","1","0","0","5","0","Clayton","","","8/15/1935","8/15/1935","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","2987","1290","873","2083","1238","83","0","0","0","0","0"
"58692","0","3786435","5105432","INTRACOASTAL BANK","Palm Coast","FL","32137","6/30/2020","8/17/2020","NM","1290 Palm Coast Pkwy. Nw","INTRACOASTAL BCORP INC","3","0","0","4","1","Flagler","19660","Deltona-Daytona Beach-Ormond Beach, FL","6/16/2008","6/16/2008","8/11/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","0","1","www.intracoastalbank.net","17152","29856","9622","15596","15086","6704","26842","3530","11109","7283","4920"
"4799","0","557858","1064278","INTRUST BANK, NATIONAL ASSOCIATION","Wichita","KS","67202","6/30/2020","8/17/2020","N","105 N. Main St.","INTRUST FINANCIAL CORP","48","0","1","4","0","Sedgwick","48620","Wichita, KS","11/1/1876","1/1/1934","11/9/2019","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","0","http://www.intrustbank.com","509975","131677","77974","462623","54019","47036","534336","255190","219518","43260","16368"
"58316","0","3449066","4090054","INVESTAR BANK, NATIONAL ASSOCIATION","Baton Rouge","LA","70808","6/30/2020","8/17/2020","N","7244 Perkins Rd.","INVESTAR HOLDING CORP","31","0","1","4","0","East Baton Rouge","12940","Baton Rouge, LA","6/14/2006","6/14/2006","2/21/2020","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","0","http://www.investarbank.com","210068","362484","168726","265598","121554","16674","97592","38048","41348","14547","3649"
"30121","4789","854173","","INVESTMENT SAVINGS BANK","Altoona","PA","16602","6/30/2020","8/17/2020","SB","1201 Eighth Ave.","","2","0","0","5","0","Blair","11020","Altoona, PA","1/1/1939","11/26/1940","5/17/2012","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","www.investmentsb.bank","17943","10722","9970","9560","6639","2496","3243","724","1652","257","610"
"28892","2573","35570","2477754","INVESTORS BANK","Short Hills","NJ","7078","6/30/2020","8/17/2020","NM","101 John F Kennedy Pkwy","INVESTORS BCORP INC","155","0","1","4","0","Essex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1926","10/19/1942","4/2/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","0","www.investorsbank.com","2470094","1107876","858291","2453650","238850","27179","642096","173545","413162","52444","2945"
"29093","2897","809379","2508144","INVESTORS COMMUNITY BANK","Chillicothe","MO","64601","6/30/2020","8/17/2020","SM","522 Washington St.","IFB HOLDINGS INC","1","0","0","7","0","Livingston","","","8/1/1934","10/31/1934","6/25/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.my-investors.com","5140","3638","2743","4280","1338","417","1440","1179","261","0","0"
"34295","0","2524797","2524788","INVESTORS COMMUNITY BANK","Manitowoc","WI","54220","6/30/2020","8/17/2020","NM","860 N. Rapids Rd.","COUNTY BCORP INC","5","0","0","2","0","Manitowoc","","","3/17/1997","3/17/1997","1/29/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.investorscommunitybank.com","245567","169948","55403","221820","97649","40644","100397","12004","49434","35261","3698"
"19080","10723","913753","1134498","INWOOD NATIONAL BANK","Dallas","TX","75209","6/30/2020","8/17/2020","N","7621 Inwood Rd.","INWOOD BANCSHARES INC","14","0","0","4","1","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/9/1964","4/9/1964","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.InwoodBank.Com","61391","126962","51112","120865","12224","4152","199276","66088","129680","3237","272"
"18198","8452","407506","3912766","ION BANK","Naugatuck","CT","6770","6/30/2020","8/17/2020","SB","251 Church St.","ION FINANCIAL MHC","22","0","0","4","0","New Haven","35300","New Haven-Milford, CT","1/1/1870","7/1/1960","1/1/2019","Stock","0","1","FDIC","DIF","New York","NEW YORK","Hartford","Boston","Northeastern","Northeast","0","1","www.ionbank.com","87298","53909","34423","68376","34853","3554","14291","1933","7033","5075","250"
