,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
2075,22551,0,688257,1100813.0,FIRST TEXAS BANK,Killeen,TX,76542,6/30/2020,8/17/2020,NM,3514 S. Ws Young Dr.,FIRST TEXAS BCORP INC,4,0,0,4,0,Bell,28660.0,"Killeen-Temple, TX",11/16/1977,11/16/1977,6/17/2015,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Austin,Dallas,Southern,West,0,1,http://www.firsttexasbank.bank,11145.0,4644.0,4302.0,11488.0,0.0,0.0,2052.0,736.0,1316.0,0.0,0.0
2076,11935,0,444350,1100813.0,FIRST TEXAS BANK,Georgetown,TX,78626,6/30/2020,8/17/2020,NM,900 S. Austin Ave.,FIRST TEXAS BCORP INC,8,0,0,4,0,Williamson,12420.0,"Austin-Round Rock, TX",1/1/1898,1/1/1934,4/5/2019,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Austin,Dallas,Southern,West,0,1,http://WWW.FIRSTTEXASBANK.BANK,14948.0,18656.0,9838.0,23355.0,411.0,0.0,13135.0,3073.0,10062.0,0.0,0.0
2077,13905,12043,388155,1141227.0,FIRST TEXOMA NATIONAL BANK,Durant,OK,74701,6/30/2020,8/17/2020,N,220 W. Main St.,FNB FINANCIAL SERVICES INC,6,0,1,4,0,Bryan,,,7/8/1898,1/1/1934,4/10/2019,Stock,0,0,OCC,DIF,Dallas,DALLAS,Oklahoma City,Kansas City,Southern,West,0,1,www.ftnb.net,15400.0,17484.0,9280.0,14464.0,7127.0,2014.0,10685.0,3589.0,5926.0,854.0,316.0
2078,8333,52582,570651,1054895.0,FIRST TRI COUNTY BANK,Swanton,NE,68445,6/30/2020,8/17/2020,NM,105 Main St.,SWANTON AGENCY INC,2,0,0,2,0,Saline,,,4/1/1894,1/1/1934,6/3/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Omaha,Kansas City,Western,Western,0,1,www.ftcb1.com,11187.0,3408.0,2098.0,7402.0,5095.0,0.0,547.0,547.0,0.0,0.0,0.0
2079,8752,12271,640442,1206014.0,FIRST TRUST AND SAVINGS BANK,Wheatland,IA,52777,6/30/2020,8/17/2020,NM,123 S. Main St.,WHEATLAND BCORP,7,0,0,2,1,Clinton,,,1/1/1905,1/1/1934,12/14/2007,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Cedar Rapids,Chicago,Western,Western,0,1,http://www.firsttrustsavings.com,33035.0,40755.0,12951.0,28623.0,27968.0,4248.0,8856.0,954.0,5468.0,1596.0,838.0
2080,10123,14540,84046,,FIRST TRUST AND SAVINGS BANK,Coralville,IA,52241,6/30/2020,8/17/2020,NM,1831 2nd St.,,2,0,0,2,0,Johnson,26980.0,"Iowa City, IA",4/15/1931,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Cedar Rapids,Chicago,Western,Western,0,1,www.ft-sb.com,4013.0,13725.0,6145.0,6367.0,5209.0,17.0,819.0,303.0,262.0,254.0,0.0
2081,34778,0,2718596,3249109.0,FIRST TRUST BANK OF ILLINOIS,Kankakee,IL,60901,6/30/2020,8/17/2020,NM,275 E. Court St.,FIRST TRUST FINANCIAL CORP,6,0,0,4,0,Kankakee,28100.0,"Kankakee, IL",7/30/1998,7/30/1998,12/17/2019,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Champaign,Chicago,Central,Central,0,1,www.firsttrustbankil.com,35632.0,23561.0,14116.0,34240.0,10480.0,357.0,14717.0,3395.0,10829.0,493.0,0.0
2082,12769,15741,578255,1108163.0,FIRST UNITED BANK,Dimmitt,TX,79027,6/30/2020,8/17/2020,NM,201 N. Broadway,PLAINS BCORP INC,16,0,0,4,1,Castro,,,3/7/1907,1/1/1934,1/1/2007,Stock,0,1,FDIC,DIF,Dallas,DALLAS,Lubbock,Dallas,Southern,West,0,1,www.firstunited.bank,53197.0,144705.0,35188.0,90138.0,64548.0,8029.0,192355.0,64541.0,90391.0,34904.0,2519.0
2083,15472,0,1011955,1140266.0,FIRST UNITED BANK,Park River,ND,58270,6/30/2020,8/17/2020,NM,503 Briggs Ave. S.,FIRST HOLDING PARK RIVER,10,0,0,2,1,Walsh,,,1/1/1886,1/1/1934,11/17/2018,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Fargo,Minneapolis,Central,West,0,1,www.firstunitedonline.com,34953.0,11558.0,5574.0,14349.0,14453.0,12135.0,5616.0,325.0,2241.0,1651.0,1399.0
2084,4857,10579,61122,1132672.0,FIRST UNITED BANK & TRUST,Oakland,MD,21550,6/30/2020,8/17/2020,NM,19 S. 2nd St.,FIRST UNITED CORP,25,0,1,4,0,Garrett,,,1/1/1900,1/1/1934,6/6/2018,Stock,0,1,FDIC,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,www.mybank.com,94250.0,74998.0,19121.0,60488.0,82030.0,7609.0,65585.0,16889.0,32591.0,15487.0,618.0
