,cert,name,city,state,zip,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
806,9204,CENTRAL BANK,Provo,UT,84601,1,www.cbutah.com,43891.0,28688.0,15940.0,15124.0,25399.0,16115.0,60659.0,39432.0,2760.0,7604.0,10863.0
807,15815,CENTRAL BANK & TRUST COMPANY,Lexington,KY,40507,0,www.centralbank.com,129707.0,111570.0,38350.0,124458.0,46394.0,32075.0,137926.0,46196.0,75542.0,11614.0,4574.0
808,529,CENTRAL BANK AND TRUST,Lander,WY,82520,1,www.centralbanktrust.com,10864.0,5062.0,2604.0,6806.0,5263.0,1253.0,3718.0,0.0,2650.0,418.0,650.0
809,11772,CENTRAL BANK AND TRUST CO.,Hutchinson,KS,67502,1,,19577.0,48047.0,13257.0,36617.0,13725.0,4024.0,8496.0,5035.0,2062.0,560.0,839.0
810,11670,CENTRAL BANK ILLINOIS,Geneseo,IL,61254,1,http://www.central-bank.com,67055.0,33735.0,21608.0,51010.0,19095.0,9077.0,17263.0,6064.0,9125.0,930.0,1143.0
811,4551,CENTRAL BANK OF AUDRAIN COUNTY,Mexico,MO,65265,0,www.centralbank.net,16636.0,4219.0,7836.0,8102.0,4017.0,900.0,1674.0,770.0,404.0,500.0,0.0
812,4536,CENTRAL BANK OF BOONE COUNTY,Columbia,MO,65201,0,www.centralbank.net,119461.0,41556.0,58085.0,68458.0,31583.0,2891.0,20538.0,5415.0,13301.0,1555.0,268.0
813,16924,CENTRAL BANK OF BRANSON,Branson,MO,65616,0,www.centralbank.net,24077.0,12698.0,14161.0,13914.0,7343.0,1357.0,6915.0,4194.0,2721.0,0.0,0.0
814,17009,CENTRAL BANK OF KANSAS CITY,Kansas City,MO,64124,1,www.centralbankkc.com,3931.0,12201.0,6149.0,7860.0,2067.0,56.0,8087.0,1.0,8087.0,0.0,0.0
815,11000,CENTRAL BANK OF LAKE OF THE OZARKS,Osage Beach,MO,65065,0,www.centralbank.net,49444.0,28626.0,24728.0,36872.0,16391.0,79.0,47472.0,21026.0,23883.0,2563.0,0.0
816,15142,CENTRAL BANK OF MOBERLY,Moberly,MO,65270,0,www.centralbank.net,19405.0,2859.0,5388.0,12042.0,3222.0,1612.0,311.0,0.0,0.0,311.0,0.0
817,35348,CENTRAL BANK OF OKLAHOMA,Tulsa,OK,74137,0,www.centralbank.net,48088.0,93504.0,25571.0,64211.0,47883.0,3927.0,16512.0,4506.0,7316.0,3308.0,1383.0
818,4569,CENTRAL BANK OF SEDALIA,Sedalia,MO,65301,0,www.centralbank.net,35948.0,8597.0,11611.0,14899.0,13818.0,4217.0,10374.0,4324.0,6050.0,0.0,0.0
819,4534,CENTRAL BANK OF ST. LOUIS,Clayton,MO,63105,0,www.centralbank.net,66028.0,64035.0,33990.0,65310.0,29025.0,1738.0,31349.0,9183.0,12586.0,6045.0,3536.0
820,26247,CENTRAL BANK OF THE MIDWEST,Lees Summit,MO,64086,0,www.centralbank.net,92217.0,23580.0,41645.0,48654.0,19945.0,5553.0,13371.0,2442.0,8493.0,1846.0,590.0
821,17633,CENTRAL BANK OF THE OZARKS,Springfield,MO,65804,0,www.centralbank.net,74747.0,50246.0,41605.0,57715.0,21873.0,3800.0,6708.0,3567.0,1624.0,1517.0,0.0
822,25268,CENTRAL BANK OF WARRENSBURG,Warrensburg,MO,64093,0,www.centralbank.net,18884.0,7567.0,5934.0,12666.0,6177.0,1674.0,13168.0,1440.0,10723.0,1005.0,0.0
823,28425,CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION,Cicero,IL,60804,1,www.centralfederalsavings.com,48086.0,30059.0,12757.0,34837.0,25002.0,5548.0,4107.0,0.0,1835.0,2272.0,0.0
824,30664,CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION OF ROLLA,Rolla,MO,65401,1,,10865.0,2687.0,2868.0,4652.0,2768.0,3264.0,668.0,265.0,0.0,0.0,403.0
825,22396,CENTRAL NATIONAL BANK,Waco,TX,76710,1,http://www.cnbwaco.com,76997.0,41013.0,36866.0,52753.0,19826.0,8565.0,70845.0,9887.0,39994.0,17558.0,3406.0
826,4702,CENTRAL NATIONAL BANK,Junction City,KS,66441,1,http://www.centralnational.com,101574.0,35991.0,25401.0,53200.0,56132.0,2832.0,10355.0,1154.0,5255.0,3946.0,0.0
827,4091,"CENTRAL NATIONAL BANK & TRUST CO., OF ENID",Enid,OK,73701,1,www.stridebank.com,74205.0,28503.0,10520.0,51088.0,32223.0,8877.0,14370.0,1579.0,10186.0,2152.0,453.0
828,17308,CENTRAL PACIFIC BANK,Honolulu,HI,96813,1,WWW.CPB.BANK,177999.0,97801.0,64194.0,141097.0,52933.0,17576.0,875655.0,548686.0,251147.0,69677.0,6145.0
829,1095,CENTRAL SAVINGS BANK,Sault Sainte Mar,MI,49783,1,www.centralsavingsbank.com,16889.0,17198.0,12265.0,7346.0,9340.0,5136.0,20925.0,14048.0,3598.0,1353.0,1927.0
830,27910,"CENTRAL SAVINGS, F.S.B.",Chicago,IL,60657,1,,22978.0,29706.0,7667.0,21278.0,23493.0,246.0,6401.0,1538.0,3047.0,1816.0,0.0
831,72,CENTRAL STATE BANK,Calera,AL,35040,1,http://www.centralstatebank.com,22831.0,25320.0,9735.0,28314.0,8277.0,1825.0,36456.0,4232.0,22550.0,8954.0,720.0
832,10903,CENTRAL STATE BANK,State Center,IA,50247,1,www.centralstatebankia.com,40439.0,52769.0,15754.0,52800.0,23688.0,965.0,56377.0,6883.0,31798.0,13685.0,4011.0
833,14706,CENTRAL STATE BANK,Beulah,MI,49617,1,,5567.0,1909.0,1599.0,3436.0,1392.0,1049.0,1003.0,0.0,1003.0,0.0,0.0
834,1550,CENTRAL STATE BANK,Elkader,IA,52043,1,www.centralstate.bank,29976.0,22358.0,5295.0,24066.0,20217.0,2756.0,5548.0,0.0,3735.0,1813.0,0.0
835,8487,CENTRAL STATE BANK,Clayton,IL,62324,1,HTTP://WWW.CSB123.COM,38033.0,24114.0,11476.0,16826.0,22135.0,11710.0,4274.0,300.0,2601.0,261.0,1112.0
836,23030,CENTRAL VALLEY COMMUNITY BANK,Fresno,CA,93720,0,www.cvcb.com,39038.0,48127.0,32979.0,41102.0,10366.0,2719.0,33744.0,11137.0,17524.0,4825.0,258.0
837,15532,CENTREBANK,Veedersburg,IN,47987,1,www.centrebank.net,8655.0,5151.0,12370.0,546.0,494.0,396.0,3000.0,3000.0,0.0,0.0,0.0
838,17764,CENTREVILLE BANK,West Warwick,RI,2893,1,http://www.centrevillebank.com,146162.0,103711.0,25986.0,65406.0,108820.0,49661.0,36456.0,6526.0,3009.0,12271.0,14649.0
