,cert,docket,fed_rssd,rssdhcr,name,city,state,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,Community_Banks,inst.webaddr,Total_Deposits,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,Transaction_Accounts,Demand_Deposit,Non-Transaction_Accounts,Money_Market_Deposit_Accounts,Other_Savings_Accounts,Time_Deposits,Time_and_Savings_Deposits,Non-Interest_Bearing,Interest-Bearing,Retail_Deposits,depins,irakeogh,bro,broins,DEPLSNB
1341,10489,0,609645,1206210.0,ELGIN STATE BANK,Elgin,IA,52141,6/30/2020,8/17/2020,NM,241 Ctr.,KELLONTO BANKSHARES CORP,2,0,0,2,1,Fayette,,,10/25/1930,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Cedar Rapids,Chicago,Western,Western,0,1,www.elginstatebankia.com,22601,22601,20714,0,1887,0,0,0,9606,7297.0,12995,1824.0,6751.0,4420.0,15304.0,7297.0,15304.0,22255.0,22210,1257.0,0.0,0.0,0.0
1342,29904,4307,17978,,ELIZABETHTON FEDERAL SAVINGS BANK,Elizabethton,TN,37643,6/30/2020,8/17/2020,SA,112-114 N. Sycamore St.,,5,0,0,8,0,Carter,27740.0,"Johnson City, TN",6/15/1937,6/15/1937,5/11/2015,Non-Stock,0,0,OCC,DIF,Dallas,DALLAS,Knoxville,Atlanta,Southern,Southeast,0,1,www.elizfed.com,181277,181277,177721,0,964,2591,0,0,37056,4861.0,144220,3079.0,57114.0,84027.0,176415.0,6116.0,175161.0,168367.0,170446,31486.0,0.0,0.0,0.0
1343,15259,15817,679451,1248041.0,ELK STATE BANK,Clyde,KS,66938,6/30/2020,8/17/2020,NM,328 Washington St.,ELKCORP INC,3,0,0,2,0,Cloud,,,1/1/1896,8/21/1935,6/4/2016,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Hays,Kansas City,Western,Western,0,1,www.elkstatebank.com,79988,79988,73853,0,6136,0,0,0,25825,17766.0,54164,7560.0,13299.0,33305.0,62223.0,17766.0,62222.0,71966.0,76991,6144.0,7437.0,7437.0,0.0
1344,16553,0,439356,1891979.0,ELKHORN VALLEY BANK & TRUST,Norfolk,NE,68702,6/30/2020,8/17/2020,NM,800 W. Benjamin Ave.,FEO INVESTMENTS INC,10,0,0,2,0,Madison,,,7/6/1943,3/18/1947,2/7/2015,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Sioux City,Kansas City,Western,Western,0,1,http://www.elkhornvalleybank.com,733831,733831,711386,0,22304,141,0,0,219012,80180.0,514819,248379.0,98036.0,168403.0,653651.0,64404.0,669427.0,708310.0,624591,45978.0,0.0,0.0,0.0
1345,12162,9733,998648,1099841.0,ELKTON BANK & TRUST COMPANY,Elkton,KY,42220,6/30/2020,8/17/2020,NM,30 Public Sq.,ELKTON BCORP INC,4,0,0,7,0,Todd,,,1/1/1866,1/1/1934,3/31/2006,Stock,0,1,FDIC,DIF,Chicago,CHICAGO,Hopkinsville,St. louis,Central,Southeast,0,1,elktonbankandtrust.com,127998,127998,105670,0,22328,0,0,0,59550,37819.0,68448,12329.0,18247.0,37872.0,90179.0,37819.0,90179.0,117819.0,103032,6413.0,0.0,0.0,0.0
1346,16001,7788,861304,,ELMIRA SAVINGS BANK,Elmira,NY,14901,6/30/2020,8/17/2020,SM,333 E. Water St.,,12,0,0,4,0,Chemung,21300.0,"Elmira, NY",1/1/1869,7/1/1943,3/21/2012,Stock,0,0,FED,DIF,New York,NEW YORK,Syracuse,New York,Northeastern,Northeast,0,1,www.elmirasavingsbank.com,552375,552375,552375,1,0,0,0,0,46866,36641.0,505510,28467.0,234586.0,242457.0,515735.0,110829.0,441546.0,509747.0,470337,32591.0,0.0,0.0,0.0
1347,10185,0,13251,1128947.0,ELYSIAN BANK,Elysian,MN,56028,6/30/2020,8/17/2020,NM,121 E. Main St.,ELYSIAN INC,1,0,0,4,1,Le Sueur,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",9/24/1907,1/1/1934,4/1/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Mankato,Minneapolis,Central,West,0,1,www.elysianbank.net,47183,47183,43836,0,3347,0,0,0,16128,11496.0,31055,20868.0,4177.0,6010.0,35687.0,11495.0,35688.0,47183.0,40605,1073.0,0.0,0.0,0.0
1348,57228,0,3068579,3806511.0,EMBASSY BANK FOR THE LEHIGH VALLEY,Bethlehem,PA,18017,6/30/2020,8/17/2020,NM,100 Gateway Dr.,EMBASSY BCORP INC,9,0,0,4,0,Northampton,10900.0,"Allentown-Bethlehem-Easton, PA-NJ",11/6/2001,11/6/2001,11/11/2008,Stock,0,0,FDIC,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,www.embassybank.com,1157711,1157711,1080636,0,77075,0,0,0,378888,261206.0,778823,75293.0,475777.0,227753.0,896505.0,248372.0,909339.0,1076299.0,789303,24884.0,0.0,0.0,0.0
1349,58413,0,3482045,3482054.0,EMBASSY NATIONAL BANK,Lawrenceville,GA,30043,6/30/2020,8/17/2020,N,1817 N. Brown Rd.,EMBASSY BANCSHARES INC,1,0,0,4,0,Gwinnett,12060.0,"Atlanta-Sandy Springs-Roswell, GA",3/5/2007,3/5/2007,1/1/2013,Stock,0,0,OCC,DIF,Atlanta,ATLANTA,Atlanta,Atlanta,Southern,Southeast,0,1,www.embassynationalbank.com,89699,89699,81484,0,1490,6725,0,0,24133,22389.0,65566,33634.0,37.0,31895.0,67310.0,22389.0,67310.0,81177.0,64463,1800.0,1.0,1.0,6725.0
1350,14944,0,12656,,EMERALD BANK,Burden,KS,67019,6/30/2020,8/17/2020,SM,333 N Main St.,,2,0,0,8,0,Cowley,,,10/1/1884,12/21/1934,12/31/2008,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1,http://www.mybankathome.com,17188,17188,14687,0,2501,0,0,0,8267,5510.0,8921,1371.0,2834.0,4716.0,11678.0,5510.0,11678.0,16935.0,16357,823.0,0.0,0.0,0.0
