,cert,name_x,city_x,state_x,zip_x,cb_x,inst.webaddr_x,NTRCDSM_x,NTRTMMED_x,Quarter_Date_x,IDcd3less_x,IDcd3t12s_x,IDcd1t3s_x,NTRTMLGJ_x,name_y,city_y,state_y,zip_y,cb_y,inst.webaddr_y,NTRCDSM_y,NTRTMMED_y,Quarter_Date_y,IDcd3less_y,IDcd3t12s_y,IDcd1t3s_y,NTRTMLGJ_y
1445,28478,FARMERS AND MECHANICS FEDERAL SAVINGS BANK,Bloomfield,IN,47424,1,http://www.farmersandmechanicsfederal.com,11361.0,10362.0,2020-06-30,1378.0,8251.0,5034.0,1669.0,FARMERS AND MECHANICS FEDERAL SAVINGS BANK,Bloomfield,IN,47424,1,http://www.farmersandmechanicsfederal.com,13245.0,8556.0,2020-03-30,914.0,7502.0,6427.0,1668.0
1446,13415,FARMERS AND MERCHANTS BANK,Arnett,OK,73832,1,fmbankarnett.com,6646.0,3305.0,2020-06-30,2346.0,6385.0,792.0,609.0,FARMERS AND MERCHANTS BANK,Arnett,OK,73832,1,fmbankarnett.com,6637.0,3454.0,2020-03-30,3652.0,5012.0,1025.0,4151.0
1447,1735,FARMERS AND MERCHANTS BANK,Piedmont,AL,36272,1,http://www.FandM.bank,22948.0,11750.0,2020-06-30,6455.0,11450.0,10768.0,12883.0,FARMERS AND MERCHANTS BANK,Piedmont,AL,36272,1,http://www.FandM.bank,22904.0,11538.0,2020-03-30,5340.0,13200.0,6524.0,13199.0
1448,17444,FARMERS AND MERCHANTS BANK,Axtell,NE,68924,1,,730.0,300.0,2020-06-30,506.0,184.0,340.0,0.0,FARMERS AND MERCHANTS BANK,Axtell,NE,68924,1,,729.0,300.0,2020-03-30,206.0,483.0,340.0,0.0
1449,16810,FARMERS AND MERCHANTS BANK,Milford,NE,68405,1,www.bankfmb.com,104878.0,45212.0,2020-06-30,15148.0,46003.0,43478.0,12093.0,FARMERS AND MERCHANTS BANK,Milford,NE,68405,1,www.bankfmb.com,86832.0,52869.0,2020-03-30,11956.0,40423.0,41787.0,10217.0
1450,14275,FARMERS AND MERCHANTS BANK,Milligan,NE,68406,1,www.fmbmilligan.com,42404.0,17348.0,2020-06-30,4636.0,18784.0,15894.0,8522.0,FARMERS AND MERCHANTS BANK,Milligan,NE,68406,1,www.fmbmilligan.com,42666.0,16995.0,2020-03-30,3030.0,17577.0,18603.0,7491.0
1451,3170,FARMERS AND MERCHANTS BANK,De Leon,TX,76444,1,www.fmbank-tx.com,5492.0,3682.0,2020-06-30,2693.0,6070.0,410.0,771.0,FARMERS AND MERCHANTS BANK,De Leon,TX,76444,1,www.fmbank-tx.com,5809.0,3876.0,2020-03-30,4020.0,5380.0,285.0,609.0
1452,13887,FARMERS AND MERCHANTS BANK,Lafayette,AL,36862,1,www.fmlafayette.com,19355.0,16414.0,2020-06-30,9897.0,18712.0,6272.0,15466.0,FARMERS AND MERCHANTS BANK,Lafayette,AL,36862,1,www.fmlafayette.com,18542.0,15729.0,2020-03-30,7070.0,20431.0,5904.0,14472.0
1453,15801,FARMERS AND MERCHANTS BANK,Baldwyn,MS,38824,1,www.fmbms.com,51160.0,46751.0,2020-06-30,24785.0,45597.0,27529.0,24987.0,FARMERS AND MERCHANTS BANK,Baldwyn,MS,38824,1,www.fmbms.com,51102.0,44854.0,2020-03-30,21125.0,47040.0,27791.0,25291.0
1454,1895,FARMERS AND MERCHANTS BANK,Upperco,MD,21155,1,www.fmb1919.bank,76024.0,46940.0,2020-06-30,19087.0,53557.0,47856.0,30409.0,FARMERS AND MERCHANTS BANK,Upperco,MD,21155,1,www.fmb1919.bank,79037.0,46033.0,2020-03-30,21819.0,50169.0,49478.0,30909.0
